Mortgage monthly repayments,dollars,%,Suburb
Households where mortgage repayments are less than 30% of household income,--,93.1,Wishart
Households with mortgage repayments greater than 30% of household income,--,6.9,Wishart
Median mortgage repayments,"1,700",--,Coopers Plains
Households where mortgage repayments are less than 30% of household income,--,93.4,Coopers Plains
Households with mortgage repayments greater than 30% of household income,--,6.6,Coopers Plains
Median mortgage repayments,"1,982",--,Moorooka
Households where mortgage repayments are less than 30% of household income,--,94.2,Moorooka
Households with mortgage repayments greater than 30% of household income,--,5.8,Moorooka
Median mortgage repayments,"2,000",--,Robertson
Households where mortgage repayments are less than 30% of household income,--,93.7,Robertson
Households with mortgage repayments greater than 30% of household income,--,6.3,Robertson
Median mortgage repayments,"1,994",--,Salisbury - Nathan
Households where mortgage repayments are less than 30% of household income,--,92.8,Salisbury - Nathan
Households with mortgage repayments greater than 30% of household income,--,7.2,Salisbury - Nathan
Median mortgage repayments,"2,167",--,Tarragindi
Households where mortgage repayments are less than 30% of household income,--,94.6,Tarragindi
Households with mortgage repayments greater than 30% of household income,--,5.4,Tarragindi
Median mortgage repayments,"1,753",--,Algester
Households where mortgage repayments are less than 30% of household income,--,90.9,Algester
Households with mortgage repayments greater than 30% of household income,--,9.1,Algester
Median mortgage repayments,"1,863",--,Calamvale - Stretton
Households where mortgage repayments are less than 30% of household income,--,88.5,Calamvale - Stretton
Households with mortgage repayments greater than 30% of household income,--,11.5,Calamvale - Stretton
Median mortgage repayments,"2,167",--,Pallara - Willawong
Households where mortgage repayments are less than 30% of household income,--,89.1,Pallara - Willawong
Households with mortgage repayments greater than 30% of household income,--,10.9,Pallara - Willawong
Median mortgage repayments,"2,000",--,Parkinson - Drewvale
Households where mortgage repayments are less than 30% of household income,--,87.4,Parkinson - Drewvale
Households with mortgage repayments greater than 30% of household income,--,12.6,Parkinson - Drewvale
Median mortgage repayments,"1,517",--,Rocklea - Acacia Ridge
Households where mortgage repayments are less than 30% of household income,--,93.7,Rocklea - Acacia Ridge
Households with mortgage repayments greater than 30% of household income,--,6.3,Rocklea - Acacia Ridge
Median mortgage repayments,"2,000",--,Kuraby
Households where mortgage repayments are less than 30% of household income,--,91.6,Kuraby
Households with mortgage repayments greater than 30% of household income,--,8.4,Kuraby
Median mortgage repayments,"1,647",--,Runcorn
Households where mortgage repayments are less than 30% of household income,--,91.2,Runcorn
Households with mortgage repayments greater than 30% of household income,--,8.8,Runcorn
Median mortgage repayments,"1,733",--,Sunnybank
Households where mortgage repayments are less than 30% of household income,--,94.0,Sunnybank
Households with mortgage repayments greater than 30% of household income,--,6.0,Sunnybank
Median mortgage repayments,"1,793",--,Sunnybank Hills
Households where mortgage repayments are less than 30% of household income,--,91.3,Sunnybank Hills
Households with mortgage repayments greater than 30% of household income,--,8.7,Sunnybank Hills
Median mortgage repayments,"2,000",--,Jindalee - Mount Ommaney
Households where mortgage repayments are less than 30% of household income,--,94.2,Jindalee - Mount Ommaney
Households with mortgage repayments greater than 30% of household income,--,5.8,Jindalee - Mount Ommaney
Median mortgage repayments,"1,933",--,Middle Park - Jamboree Heights
Households where mortgage repayments are less than 30% of household income,--,93.0,Middle Park - Jamboree Heights
Households with mortgage repayments greater than 30% of household income,--,7.0,Middle Park - Jamboree Heights
Median mortgage repayments,"1,918",--,Riverhills
Households where mortgage repayments are less than 30% of household income,--,91.9,Riverhills
Households with mortgage repayments greater than 30% of household income,--,8.1,Riverhills
Median mortgage repayments,"2,054",--,Seventeen Mile Rocks - Sinnamon Park
Households where mortgage repayments are less than 30% of household income,--,92.9,Seventeen Mile Rocks - Sinnamon Park
Households with mortgage repayments greater than 30% of household income,--,7.1,Seventeen Mile Rocks - Sinnamon Park
Median mortgage repayments,"2,167",--,Westlake
Households where mortgage repayments are less than 30% of household income,--,92.4,Westlake
Households with mortgage repayments greater than 30% of household income,--,7.6,Westlake
Median mortgage repayments,"2,100",--,Bellbowrie - Moggill
Households where mortgage repayments are less than 30% of household income,--,91.2,Bellbowrie - Moggill
Households with mortgage repayments greater than 30% of household income,--,8.8,Bellbowrie - Moggill
Median mortgage repayments,"2,500",--,Brookfield - Kenmore Hills
Households where mortgage repayments are less than 30% of household income,--,92.9,Brookfield - Kenmore Hills
Households with mortgage repayments greater than 30% of household income,--,7.1,Brookfield - Kenmore Hills
Median mortgage repayments,"2,167",--,Chapel Hill
Households where mortgage repayments are less than 30% of household income,--,94.2,Chapel Hill
Households with mortgage repayments greater than 30% of household income,--,5.8,Chapel Hill
Median mortgage repayments,"2,815",--,Fig Tree Pocket
Households where mortgage repayments are less than 30% of household income,--,94.2,Fig Tree Pocket
Households with mortgage repayments greater than 30% of household income,--,5.8,Fig Tree Pocket
Median mortgage repayments,"2,167",--,Kenmore
Households where mortgage repayments are less than 30% of household income,--,93.1,Kenmore
Households with mortgage repayments greater than 30% of household income,--,6.9,Kenmore
Median mortgage repayments,"2,500",--,Pinjarra Hills - Pullenvale
Households where mortgage repayments are less than 30% of household income,--,92.9,Pinjarra Hills - Pullenvale
Households with mortgage repayments greater than 30% of household income,--,7.1,Pinjarra Hills - Pullenvale
Median mortgage repayments,"2,485",--,Chelmer - Graceville
Households where mortgage repayments are less than 30% of household income,--,94.8,Chelmer - Graceville
Households with mortgage repayments greater than 30% of household income,--,5.2,Chelmer - Graceville
Median mortgage repayments,"2,167",--,Corinda
Households where mortgage repayments are less than 30% of household income,--,95.4,Corinda
Households with mortgage repayments greater than 30% of household income,--,4.6,Corinda
Median mortgage repayments,"2,000",--,Indooroopilly
Households where mortgage repayments are less than 30% of household income,--,95.8,Indooroopilly
Households with mortgage repayments greater than 30% of household income,--,4.2,Indooroopilly
Median mortgage repayments,"2,253",--,Sherwood
Households where mortgage repayments are less than 30% of household income,--,95.4,Sherwood
Households with mortgage repayments greater than 30% of household income,--,4.6,Sherwood
Median mortgage repayments,"2,167",--,St Lucia
Households where mortgage repayments are less than 30% of household income,--,96.7,St Lucia
Households with mortgage repayments greater than 30% of household income,--,3.3,St Lucia
Median mortgage repayments,"1,900",--,Taringa
Households where mortgage repayments are less than 30% of household income,--,97.1,Taringa
Households with mortgage repayments greater than 30% of household income,--,2.9,Taringa
Median mortgage repayments,"2,000",--,Enoggera
Households where mortgage repayments are less than 30% of household income,--,95.7,Enoggera
Households with mortgage repayments greater than 30% of household income,--,4.3,Enoggera
